timestamp,temperature
2025-01-01 15:00:00,10.4
2025-01-02 15:01:00,10.8
2025-01-03 15:02:00,20.2
2025-01-04 15:03:00,20.6
2025-01-05 15:04:00,23.0
2025-01-06 15:05:00,23.4
2025-01-07 15:06:00,23.8
2025-01-08 15:07:00,24.2
2025-01-09 15:08:00,24.6
2025-01-10 15:09:00,25.0
2025-01-11 15:10:00,25.4
2025-01-12 15:11:00,25.8
2025-01-13 15:12:00,26.2
2025-01-14 15:13:00,26.6
2025-01-15 15:14:00,27.0
2025-01-16 15:15:00,27.4
2025-01-17 15:16:00,27.8
2025-01-18 15:17:00,28.2
2025-01-19 15:18:00,28.6
2025-01-20 15:19:00,29.0
2025-01-21 15:20:00,29.4
2025-01-22 15:21:00,29.8
2025-01-23 15:22:00,30.2
2025-01-24 15:23:00,30.6
2025-01-25 15:24:00,31.0
2025-01-26 15:25:00,31.4
2025-01-27 15:26:00,31.8
2025-01-28 15:27:00,32.2
2025-01-29 15:28:00,32.6
2025-01-30 15:29:00,33.0
2025-01-31 15:30:00,33.4
2025-02-01 15:31:00,33.8
2025-02-02 15:32:00,34.2
2025-02-03 15:33:00,34.6
2025-02-04 15:34:00,35.0
2025-02-05 15:35:00,35.4
2025-02-06 15:36:00,35.8
2025-02-07 15:37:00,36.2
2025-02-08 15:38:00,36.6
2025-02-09 15:39:00,37.0
2025-02-10 15:40:00,37.4
2025-02-11 15:41:00,37.8
2025-02-12 15:42:00,38.2
2025-02-13 15:43:00,38.6
2025-02-14 15:44:00,39.0
2025-02-15 15:45:00,39.4
2025-02-16 15:46:00,39.8
2025-02-17 15:47:00,40.2
2025-02-18 15:48:00,40.6
2025-02-19 15:49:00,41.0
2025-02-20 15:50:00,41.4
2025-02-21 15:51:00,41.8
2025-02-22 15:52:00,42.2
2025-02-23 15:53:00,42.6
2025-02-24 15:54:00,43.0
2025-02-25 15:55:00,43.4
2025-02-26 15:56:00,43.8
2025-02-27 15:57:00,44.2
2025-02-28 15:58:00,44.6
2025-03-01 15:59:00,45.0
2025-03-02 16:00:00,45.4
2025-03-03 16:01:00,45.8
2025-03-04 16:02:00,46.2
2025-03-05 16:03:00,46.6
2025-03-06 16:04:00,47.0
2025-03-07 16:05:00,47.4
2025-03-08 16:06:00,47.8
2025-03-09 16:07:00,48.2
2025-03-10 16:08:00,48.6
2025-03-11 16:09:00,49.0
2025-03-12 16:10:00,49.4
2025-03-13 16:11:00,49.8
2025-03-14 16:12:00,50.2
2025-03-15 16:13:00,50.6
2025-03-16 16:14:00,51.0
2025-03-17 16:15:00,51.4
2025-03-18 16:16:00,51.8
2025-01-01 16:17:00,52.2
2025-01-01 16:18:00,52.6
2025-01-01 16:19:00,53.0
2025-01-01 16:20:00,53.4
2025-01-01 16:21:00,53.8
2025-01-01 16:22:00,54.2
2025-01-01 16:23:00,54.6
2025-01-01 16:24:00,55.0
2025-01-01 16:25:00,55.4
2025-01-01 16:26:00,55.8
2025-01-01 16:27:00,56.2
2025-01-01 16:28:00,56.6
2025-01-01 16:29:00,57.0
2025-01-01 16:30:00,57.4
2025-01-01 16:31:00,57.8
2025-01-01 16:32:00,58.2
2025-01-01 16:33:00,58.6
2025-01-01 16:34:00,59.0
2025-01-01 16:35:00,59.4
2025-01-01 16:36:00,59.8
2025-01-01 16:37:00,60.2
2025-01-01 16:38:00,60.6
2025-01-01 16:39:00,61.0
2025-01-01 16:40:00,61.4
2025-01-01 16:41:00,61.8
2025-01-01 16:42:00,62.2
2025-01-01 16:43:00,62.6
2025-01-01 16:44:00,63.0
2025-01-01 16:45:00,63.4
2025-01-01 16:46:00,63.8
2025-01-01 16:47:00,64.2
2025-01-01 16:48:00,64.6
2025-01-01 16:49:00,65.0
2025-01-01 16:50:00,65.4
2025-01-01 16:51:00,65.8
2025-01-01 16:52:00,66.2
2025-01-01 16:53:00,66.6
2025-01-01 16:54:00,67.0
2025-01-01 16:55:00,67.4
2025-01-01 16:56:00,67.8
2025-01-01 16:57:00,68.2
2025-01-01 16:58:00,68.6
2025-01-01 16:59:00,69.0
2025-01-01 17:00:00,69.4
2025-01-01 17:01:00,69.8
2025-01-01 17:02:00,10.2
2025-01-01 17:03:00,10.6
2025-01-01 17:04:00,20.0
2025-01-01 17:05:00,20.4
2025-01-01 17:06:00,20.8
2025-01-01 17:07:00,23.2
2025-01-01 17:08:00,23.6
2025-01-01 17:09:00,24.0
2025-01-01 17:10:00,24.4
2025-01-01 17:11:00,24.8
2025-01-01 17:12:00,25.2
2025-01-01 17:13:00,25.6
2025-01-01 17:14:00,26.0
2025-01-01 17:15:00,26.4
2025-01-01 17:16:00,26.8
2025-01-01 17:17:00,27.2
2025-01-01 17:18:00,27.6
2025-01-01 17:19:00,28.0
2025-01-01 17:20:00,28.4
2025-01-01 17:21:00,28.8
2025-01-01 17:22:00,29.2
2025-01-01 17:23:00,29.6
2025-01-01 17:24:00,30.0
2025-01-01 17:25:00,30.4
2025-01-01 17:26:00,30.8
2025-01-01 17:27:00,31.2
2025-01-01 17:28:00,31.6
2025-01-01 17:29:00,32.0
2025-01-01 17:30:00,32.4
2025-01-01 17:31:00,32.8
2025-01-01 17:32:00,33.2
2025-01-01 17:33:00,33.6
2025-01-01 17:34:00,34.0
2025-01-01 17:35:00,34.4
2025-01-01 17:36:00,34.8
2025-01-01 17:37:00,35.2
2025-01-01 17:38:00,35.6
2025-01-01 17:39:00,36.0
2025-01-01 17:40:00,36.4
2025-01-01 17:41:00,36.8
2025-01-01 17:42:00,37.2
2025-01-01 17:43:00,37.6
2025-01-01 17:44:00,87.0
2025-01-01 17:45:00,87.4
2025-01-01 17:46:00,87.8
2025-01-01 17:47:00,88.2
2025-01-01 17:48:00,88.6
2025-01-01 17:49:00,89.0
2025-01-01 17:50:00,89.4
2025-01-01 17:51:00,89.8
2025-01-01 17:52:00,41.2
2025-01-01 17:53:00,41.6
2025-01-01 17:54:00,46.0
2025-01-01 17:55:00,46.4
2025-01-01 17:56:00,46.8
2025-01-01 17:57:00,48.2
2025-01-01 17:58:00,48.6
2025-01-01 17:59:00,49.0
2025-01-01 18:00:00,49.2
2025-01-01 18:01:00,49.0
2025-01-01 18:02:00,49.2
2025-01-01 18:03:00,49.0
2025-01-01 18:04:00,49.2
2025-01-01 18:05:00,49.0
2025-01-01 18:06:00,49.2
2025-01-01 18:07:00,49.0
2025-01-01 18:08:00,49.2
2025-01-01 18:09:00,49.0
2025-01-01 18:10:00,49.2
2025-01-01 18:11:00,49.0
2025-01-01 18:12:00,49.2
2025-01-01 18:13:00,49.0
2025-01-01 18:14:00,49.2
2025-01-01 18:15:00,49.0
2025-01-01 18:16:00,49.2
2025-01-01 18:17:00,49.0
2025-01-01 18:18:00,49.2
2025-01-01 18:19:00,49.0
2025-01-01 18:20:00,49.2
2025-01-01 18:21:00,49.0
2025-01-01 18:22:00,49.2
2025-01-01 18:23:00,49.0
2025-01-01 18:24:00,49.2
2025-01-01 18:25:00,49.0
2025-01-01 18:26:00,49.2
2025-01-01 18:27:00,49.0
2025-01-01 18:28:00,49.2
2025-01-01 18:29:00,49.0
2025-01-01 18:30:00,49.2
2025-01-01 18:31:00,49.0
2025-01-01 18:32:00,49.2
2025-01-01 18:33:00,49.0
2025-01-01 18:34:00,49.2
2025-01-01 18:35:00,49.0
2025-01-01 18:36:00,49.2
2025-01-01 18:37:00,49.0
2025-01-01 18:38:00,49.2
2025-01-01 18:39:00,49.0
2025-01-01 18:40:00,49.2
2025-01-01 18:41:00,49.0
2025-01-01 18:42:00,49.2
2025-01-01 18:43:00,49.0
2025-01-01 18:44:00,49.2
2025-01-01 18:45:00,49.0
2025-01-01 18:46:00,49.2
2025-01-01 18:47:00,49.0
2025-01-01 18:48:00,49.2
2025-01-01 18:49:00,49.0
2025-01-01 18:50:00,49.2
2025-01-01 18:51:00,49.0
2025-01-01 18:52:00,49.2
2025-01-01 18:53:00,49.0
2025-01-01 18:54:00,49.2
2025-01-01 18:55:00,49.0
2025-01-01 18:56:00,50.2
2025-01-01 18:57:00,50.0
2025-01-01 18:58:00,50.2
2025-01-01 18:59:00,50.0
